Name,Tu es,Tes yeux,Tes cheveux,Ton atout de folie physique,Ton atout de folie caractère/mental,Le plus important pour toi,Je recherche 👀,Qqn qui a les yeux,Qqn qui a les cheveux,Je recherche 👀,Son atout de folie physique,Son atout de folie caractère/mental,Le plus important pour elle/lui ?,Ton age,Son age,nb_de_critères_ok,nb_de_matches
@lys_.mrt,,,Chatain,Yeux,Humour,Le charisme,Un gars,Vert,,Un gars,Silhouette,Humour,Le style vestimentaire,16-18,16-18,5,8
Antoine_morai ,,,,,,,,,,,,,,,,0,0
_clara.66_,,,,,,,,,,,,,,18-24,,0,0
@nogzo9,Un gars,Marron,Brun ,Silhouette,Humour,La complicité ,Une fille,Marron,Chatain,Une fille,Sourire,Gentillesse,La complicité,24-34,18-24,6,68
@aubdesboisss,Un gars,Vert,Brun ,Yeux,Gentillesse,La complicité ,Une fille,Vert,Chatain,Une fille,Sourire,Douceur,La complicité,18-24,18-24,6,10
Salim_life74,Un gars,Marron,Brun ,,Gentillesse,La complicité ,Une fille,,,Une fille,,Douceur,La complicité,24-34,24-34,3,68
@xavier_lecuyer_,Un gars,Bleu,Chatain,Yeux,Gentillesse,L'ambition,Une fille,Bleu,Chatain,Une fille,Sourire,Intelligence,Le charisme,18-24,18-24,7,1
bastien_cmbt,Un gars,Bleu,Chatain,Sourire,Gentillesse,La complicité ,Une fille,Marron,Blond,Une fille,Sourire,Douceur,L'ambition,18-24,18-24,6,15
Ezem_,Un gars,Vert,Brun ,Yeux,Gentillesse,La complicité ,Une fille,Vert,Chatain,Une fille,Yeux,Douceur,La complicité,18-24,18-24,6,22
Timohee,Un gars,Vert,Blond,Silhouette,Humour,La complicité ,Une fille,,Brun,Une fille,Sourire,Douceur,L'ambition,24-34,24-34,5,4
fabien_torbi,Un gars,Marron,Brun ,Yeux,Gentillesse,La complicité ,Une fille,Marron,Chatain,Une fille,Sourire,Gentillesse,Le charisme,18-24,18-24,7,7
@hadrien1995,Un gars,Marron,Brun ,Sourire,Gentillesse,La complicité ,Une fille,Marron,Brun,Une fille,Yeux,Douceur,La complicité,24-34,24-34,5,16
